,launch_speed,launch_angle,woba_value
1697,78.5,15.0,0.9
1703,92.7,39.0,0.0
1708,94.1,60.0,0.0
1712,99.2,-2.0,0.9
1714,62.3,65.0,0.0
1718,90.4,26.0,0.0
1726,105.0,12.0,1.25
1728,84.1,14.0,0.9
1734,97.5,26.0,2.0
1740,99.1,22.0,0.0
1761,89.0,49.0,0.0
1767,97.9,-4.0,0.0
1780,101.2,0.0,0.9
1784,61.3,56.0,0.0
1790,106.7,-12.0,0.9
1791,91.8,14.0,1.25
1803,91.9,61.0,0.0
1836,100.1,2.0,1.6
1851,73.0,5.0,0.0
1852,75.6,18.0,0.9
1855,57.1,-53.0,0.9
1859,90.5,-15.0,0.0
1862,99.2,10.0,0.9
1871,91.0,43.0,0.0
1873,100.4,19.0,0.0
1880,68.7,30.0,0.9
1882,73.0,-16.0,0.0
1885,98.3,37.0,0.0
1888,96.9,44.0,0.0
1890,91.4,67.0,0.0
1895,107.5,-18.0,0.0
1921,52.4,20.0,0.9
1923,84.8,57.0,0.0
1924,78.5,-15.0,0.0
1928,103.6,20.0,0.0
1937,96.7,10.0,0.9
1940,91.3,48.0,0.0
1945,44.5,26.0,0.0
1948,81.4,-2.0,0.0
1952,81.9,52.0,0.0
1954,63.5,45.0,0.0
1964,97.4,36.0,0.0
1965,90.3,-10.0,0.9
1972,86.3,33.0,0.0
1975,68.5,-19.0,0.0
1979,117.7,19.0,2.0
1982,101.8,-7.0,0.0
1990,99.1,24.0,1.25
1991,94.1,20.0,1.6
1992,83.1,58.0,0.0
2002,81.0,31.0,0.0
2003,75.8,31.0,0.0
2010,101.3,-21.0,0.0
2026,98.5,14.0,0.9
2027,95.9,22.0,0.0
2029,86.0,-49.0,0.0
2032,78.4,-23.0,0.0
2034,93.3,11.0,0.9
2040,32.8,-67.0,0.9
2051,82.5,78.0,0.0
2053,90.9,-26.0,0.0
2061,103.4,-10.0,0.0
2073,102.1,50.0,0.0
2075,81.8,-15.0,0.0
2078,97.2,38.0,0.0
2082,95.5,29.0,1.25
2083,82.2,11.0,0.0
2086,84.7,-14.0,0.0
2097,97.5,24.0,0.0
2105,80.9,7.0,0.0
2109,73.4,39.0,0.0
2119,80.7,-56.0,0.0
2122,106.2,20.0,2.0
2131,90.5,16.0,0.0
2132,96.1,-31.0,0.0
2145,103.1,-12.0,0.9
2150,106.0,5.0,0.0
2156,94.1,24.0,0.0
2160,100.8,39.0,2.0
2178,86.4,16.0,0.0
2182,93.9,-3.0,0.0
2184,90.8,-40.0,0.9
2205,99.9,38.0,2.0
2209,85.4,30.0,0.0
2210,62.9,-43.0,0.0
2213,88.3,-23.0,0.0
2217,73.9,22.0,0.9
2222,95.7,13.0,1.6
2224,52.8,-64.0,0.9
2243,101.6,14.0,1.25
2246,74.1,27.0,0.9
2249,102.9,-27.0,0.9
2254,68.8,22.0,0.9
2256,109.0,22.0,1.25
2259,84.0,34.0,0.0
2262,86.0,5.0,0.9
2267,74.8,57.0,0.0
2274,105.4,29.0,2.0
2279,77.1,-43.0,0.0
2288,98.0,32.0,2.0
2290,103.9,14.0,0.9
2291,97.8,32.0,0.0
2295,94.7,63.0,0.0
2301,100.5,-16.0,0.0
2307,85.2,14.0,0.9
2308,99.9,35.0,2.0
2312,90.6,-12.0,0.0
2318,92.5,-1.0,0.0
2325,90.0,28.0,1.25
2336,85.0,-26.0,0.0
2338,70.6,-6.0,0.9
2351,97.7,-16.0,0.0
2355,97.8,-7.0,0.0
2365,97.2,33.0,2.0
2372,107.8,5.0,0.0
2374,106.0,19.0,1.25
2377,68.7,-5.0,0.0
2380,51.9,-23.0,0.0
2385,75.8,69.0,0.0
2387,93.4,4.0,0.9
2390,75.2,10.0,0.0
2405,77.6,49.0,0.0
2406,93.9,35.0,0.0
2410,96.7,7.0,0.9
2413,88.6,12.0,0.9
2414,77.1,79.0,0.0
2415,99.2,25.0,0.0
2418,106.8,16.0,0.0
2421,95.7,47.0,0.0
2423,98.0,28.0,0.0
2426,100.0,3.0,0.0
2429,98.5,2.0,0.0
2434,93.8,3.0,0.0
2446,107.8,33.0,2.0
2447,94.5,-24.0,0.0
2462,93.9,29.0,2.0
2465,80.1,67.0,0.0
2467,94.3,-18.0,0.0
2472,100.4,40.0,2.0
2476,76.4,-24.0,0.0
2481,88.9,31.0,0.0
2483,96.7,7.0,0.0
2488,85.7,-10.0,0.0
2491,106.7,21.0,2.0
2496,92.3,6.0,0.0
2499,95.1,17.0,0.0
2504,86.5,-18.0,0.0
2508,80.1,29.0,0.0
2513,78.1,46.0,0.0
2521,93.9,31.0,0.0
2532,95.0,37.0,0.0
2536,89.2,-17.0,0.0
2541,95.5,23.0,0.0
2545,97.5,9.0,0.9
2561,33.0,54.0,0.0
2570,101.1,9.0,0.9
2576,98.3,20.0,0.0
2604,87.1,35.0,0.0
2609,78.2,-25.0,0.0
2611,79.1,18.0,0.9
2618,92.3,39.0,0.0
2620,38.6,-78.0,0.0
2621,102.3,63.0,0.0
2622,86.0,20.0,0.0
2642,69.2,69.0,0.0
2653,97.7,-2.0,0.0
2655,88.3,-26.0,0.0
2660,107.9,29.0,2.0
2661,78.8,-31.0,0.9
2666,73.7,77.0,0.0
2667,108.1,0.0,0.9
2686,96.0,34.0,0.0
2694,95.0,-19.0,0.0
2704,78.9,4.0,0.9
2708,77.1,-16.0,0.0
2713,92.3,33.0,0.0
2716,87.0,14.0,0.9
2721,73.9,-36.0,0.9
2729,92.5,48.0,0.0
2736,89.9,29.0,0.0
2739,105.4,13.0,0.9
2740,106.2,39.0,1.25
2745,89.3,14.0,0.9
2749,89.1,54.0,0.0
2754,100.7,-8.0,0.0
2759,98.4,23.0,0.0
2765,106.0,-1.0,0.9
2781,94.8,36.0,0.0
2789,77.1,2.0,0.0
2802,116.6,13.0,0.9
2805,100.8,11.0,0.9
2815,103.2,26.0,2.0
2816,85.9,17.0,1.25
2820,67.9,29.0,0.9
2822,70.9,49.0,0.0
2826,101.9,6.0,0.0
2830,98.7,-7.0,0.0
2834,74.3,0.0,0.0
2842,80.4,-36.0,0.0
2845,94.6,29.0,2.0
2847,89.3,12.0,0.9
2859,93.2,61.0,0.0
2863,76.3,45.0,0.0
2865,103.9,21.0,1.25
2868,89.7,32.0,0.0
2870,87.2,-3.0,0.0
2876,108.4,18.0,1.25
2883,84.1,-19.0,1.25
2891,74.2,26.0,0.9
2910,92.3,9.0,0.9
2918,84.3,-2.0,0.0
2922,68.2,22.0,0.9
2931,79.3,-14.0,0.0
2937,104.1,23.0,1.25
2944,109.9,18.0,0.0
2948,85.1,71.0,0.0
2951,100.3,60.0,0.0
2956,84.3,-21.0,0.9
2965,69.9,0.0,0.0
2966,102.7,29.0,2.0
2972,63.6,-53.0,0.9
2979,72.7,-21.0,0.9
2987,53.7,-64.0,0.0
3003,105.8,11.0,0.0
3012,92.8,78.0,0.0
3023,76.0,28.0,0.9
3025,90.2,76.0,0.0
3033,83.5,38.0,0.0
3042,91.4,7.0,1.25
3043,114.3,16.0,1.25
3058,91.0,50.0,0.0
3061,96.3,2.0,0.0
3065,54.5,-81.0,0.0
3073,89.7,29.0,0.0
3075,97.0,41.0,0.0
3080,107.6,17.0,0.0
3089,96.5,16.0,1.25
3103,100.8,-13.0,0.0
3106,92.2,23.0,0.9
3107,94.5,-14.0,0.0
3138,73.7,-21.0,0.0
3143,88.7,-7.0,0.0
3146,75.7,38.0,0.0
3148,91.9,3.0,0.0
3149,86.3,32.0,0.0
3156,89.7,16.0,0.0
3171,73.6,24.0,0.9
3173,107.2,-3.0,0.9
3175,75.4,22.0,0.9
3179,90.8,14.0,0.9
3180,82.1,68.0,0.0
3191,103.2,24.0,1.25
3192,98.7,14.0,0.9
3196,101.3,5.0,0.9
3198,64.3,-19.0,0.0
3202,100.6,-19.0,0.0
3203,84.9,1.0,0.9
3208,91.0,37.0,0.0
3211,90.9,54.0,0.0
3215,94.4,36.0,0.0
3220,109.9,-21.0,0.0
3230,93.6,39.0,0.0
3231,18.1,27.0,0.0
3233,102.4,24.0,2.0
3235,88.6,-24.0,0.0
3236,81.2,20.0,0.0
3250,74.8,29.0,0.0
3253,91.1,7.0,1.25
3262,98.5,12.0,0.9
3263,97.8,27.0,0.0
3265,88.8,23.0,1.25
3270,79.9,25.0,0.9
3301,94.0,-18.0,0.0
3302,103.1,19.0,0.0
3303,66.8,-37.0,0.0
3307,79.7,20.0,1.25
3309,100.3,14.0,0.0
3311,103.1,10.0,0.9
3318,98.9,4.0,0.9
3322,104.3,17.0,0.0
3326,84.0,25.0,0.9
3329,105.5,33.0,0.0
3334,79.2,0.0,0.0
3348,77.9,40.0,0.0
3357,98.9,8.0,0.0
3359,84.2,23.0,0.0
3365,95.2,7.0,0.0
3373,100.4,34.0,0.0
3374,100.1,-7.0,0.0
3377,100.2,36.0,0.0
3393,83.6,36.0,0.0
3403,103.8,31.0,2.0
3406,90.2,12.0,0.9
3410,93.1,54.0,0.0
3414,108.9,16.0,0.0
3421,90.0,34.0,0.0
3422,89.1,32.0,0.0
3423,73.6,-2.0,0.0
3427,89.8,48.0,0.0
3432,101.1,61.0,0.0
3439,90.5,32.0,0.0
3444,67.6,-42.0,0.0
3447,85.3,44.0,0.0
3458,64.0,21.0,0.9
3462,106.0,-4.0,0.0
3463,92.4,28.0,0.0
3468,91.7,8.0,0.0
3472,106.4,31.0,2.0
3476,91.7,31.0,0.0
3482,101.5,-10.0,0.0
3488,89.0,-55.0,0.9
3495,88.3,34.0,0.0
3496,93.5,4.0,0.9
